congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,15015,11,0,DE,100,,,"CARPER, Thomas R.",C000174,1947,,-0.178,-0.225,-4.95335,0.95517,108,2,,-0.213,-0.605
118,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.231,-0.212,-0.91963,0.99085,100,0,,-0.332,-0.059
118,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.609,-0.157,-17.38424,0.85382,110,4,,0.609,-0.016
118,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.661,0.182,-7.19624,0.93723,111,2,,0.914,0.406
118,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987,,-0.474,0.453,-4.92742,0.95658,111,1,,-0.461,0.257
118,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael G.",W000790,1969,,-0.397,0.385,-2.49173,0.97719,108,0,,-0.343,0.022
118,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie K.",H001042,1947,,-0.512,-0.087,-7.1157,0.93791,111,2,,-0.67,0.343
118,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian",S001194,1972,,-0.444,-0.106,-1.43289,0.98706,110,0,,-0.325,-0.373
118,Senate,29345,63,0,ID,200,,,"CRAPO, Mike",C000880,1951,,0.501,0.285,-13.23208,0.86998,95,4,,0.526,0.613
118,Senate,40902,63,0,ID,200,,,"RISCH, James E.",R000584,1943,,0.551,0.401,-10.48565,0.90139,101,4,,0.502,0.716
118,Senate,15021,21,0,IL,100,,,"DURBIN, Richard J.",D000563,1944,,-0.348,-0.303,-2.7973,0.97214,99,2,,-0.491,0.147
118,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.336,0.094,-4.68533,0.9583,110,2,,-0.46,-0.44
118,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.453,-0.054,-42.60108,0.67157,107,23,,0.432,-0.117
118,Senate,41900,22,0,IN,200,,,"BRAUN, Mike",B001310,1954,,0.8,0.6,-22.15301,0.81759,110,10,,0.992,-0.13
118,Senate,14226,31,0,IA,200,,,"GRASSLEY, Chuck",G000386,1933,,0.355,-0.05,-42.64269,0.68102,111,26,,0.416,-0.252
118,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.541,-0.054,-20.88334,0.8285,111,7,,0.403,0.695
118,Senate,21734,32,0,KS,200,,,"MARSHALL, Roger",M001198,1960,,0.581,0.185,-24.98742,0.79843,111,14,,0.646,-0.15
118,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.417,0.217,-33.67229,0.71884,102,20,,0.418,0.043
118,Senate,14921,51,0,KY,200,,,"MCCONNELL, Mitch",M000355,1942,,0.404,0.016,-21.66546,0.76014,79,11,,0.384,0.008
118,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.89,-0.456,-15.73823,0.86669,110,12,,0.991,-0.136
118,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.471,-0.063,-36.98765,0.71661,111,25,,0.62,-0.251
118,Senate,41703,45,0,LA,200,,,"KENNEDY, John",K000393,1951,,0.549,-0.047,-47.49787,0.64934,110,22,,0.429,-0.001
118,Senate,41300,2,0,ME,328,,,"KING, Angus S., Jr.",K000383,1944,,-0.162,-0.211,-2.03525,0.98167,110,0,,-0.32,0.007
118,Senate,49703,2,0,ME,200,,,"COLLINS, Susan M.",C001035,1952,,0.116,-0.535,-10.97649,0.90584,111,6,,0.122,-0.464
118,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin L.",C000141,1943,,-0.32,-0.227,-8.24575,0.92583,107,3,,-0.706,-0.708
118,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Chris",V000128,1959,,-0.391,-0.208,-1.78901,0.98372,109,1,,-0.46,-0.44
118,Senate,14435,3,0,MA,100,,,"MARKEY, Edward J.",M000133,1946,,-0.514,-0.46,-3.00108,0.97284,109,2,,-0.704,-0.71
118,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.751,-0.336,-1.18803,0.98935,111,0,,-0.648,-0.626
118,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.246,-0.186,-4.81847,0.95752,111,2,,-0.15,-0.264
118,Senate,29732,23,0,MI,100,,,"STABENOW, Debbie",S000770,1950,,-0.343,-0.016,-3.69828,0.96723,111,2,,-0.226,-0.535
118,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.284,-0.362,-2.13212,0.98098,111,1,,-0.314,-0.008
118,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.397,-0.066,-1.47637,0.98679,111,0,,-0.325,-0.373
118,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.376,0.352,-21.71149,0.82088,110,8,,0.318,0.748
118,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.445,0.374,-14.60497,0.87566,110,8,,0.509,0.389
118,Senate,41901,34,0,MO,200,,,"HAWLEY, Josh",H001089,1979,,0.75,-0.219,-19.36785,0.83856,110,13,,1.0,-0.03
118,Senate,42303,34,0,MO,200,,,"SCHMITT, Eric",S001227,1975,,0.917,-0.398,-15.66607,0.86613,109,12,,1.0,-0.03
118,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.583,-0.038,-22.39987,0.81726,111,12,,0.641,-0.15
118,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.215,0.156,-12.97883,0.88965,111,6,,-0.139,0.141
118,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.459,0.307,-12.46187,0.8938,111,5,,0.427,0.904
118,Senate,42302,35,0,NE,200,,,"RICKETTS, John Peter (Pete)",R000618,1964,,0.39,0.727,-12.62115,0.8916,110,3,,0.39,0.729
